School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester,Alcoholic
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,High School,High School,Services,Services,Other,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Low,Fair,6,13,12,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Other,Mother,Up to 15 min,Up to 2h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very High,Good,12,9,9,1
Mousinho da Silveira,Female,15,Rural,Up to 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,No,No,Yes,Excellent,Low,Very Low,Good,0,9,10,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Higher Education,Homemaker,other,Course Preference,Father,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,Moderate,Very Good,0,15,15,0
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,Homemaker,Near Home,Mother,Up to 15 min,5 to 10h,No,No,No,Yes,Yes,Yes,No,Yes,Fair,High,Moderate,Fair,8,10,11,0
Gabriel Pereira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,No,No,No,Yes,Yes,No,No,Fair,Low,Moderate,Very Good,4,11,11,0
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Higher Education,High School,Health,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Poor,Very High,Very High,Very Good,8,15,15,1
Gabriel Pereira,Female,15,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Health,other,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,0,16,14,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,Yes,No,No,Yes,Yes,No,Good,High,Moderate,Very Good,4,8,9,1
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,High School,High School,Services,Homemaker,Course Preference,Mother,15 to 30 min,More than 10h,No,Yes,Yes,Yes,Yes,Yes,No,No,Excellent,High,Very High,Very Good,0,10,11,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,No,Fair,Very Low,Low,Very Good,12,8,10,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,No,No,No,No,Good,Very High,Low,Poor,10,8,7,0
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Near Home,Mother,15 to 30 min,5 to 10h,No,No,No,No,Yes,Yes,Yes,Yes,Good,Low,Very Low,Good,5,14,14,0
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,Primary School,None,Homemaker,Homemaker,Course Preference,Other,30 min to 1h,Up to 2h,Yes,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Low,Good,0,12,12,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,High School,High School,Services,Services,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Very Low,High,Fair,8,7,10,1
Mousinho da Silveira,Male,18,Urban,Up to 3,Living Together,Higher Education,Higher Education,Homemaker,Health,Near Home,Mother,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,No,Yes,Yes,Excellent,Very High,Very High,Very Good,2,5,6,1
Gabriel Pereira,Female,17,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,Moderate,Low,Fair,0,11,11,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Homemaker,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,Yes,No,Yes,Fair,Very High,Low,Very Poor,2,16,17,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Father,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Low,Very Low,Poor,0,13,14,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Good,0,15,13,0
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,No,No,No,No,Yes,No,No,Good,Low,Low,Fair,4,12,10,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,Homemaker,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Good,0,12,12,0
Gabriel Pereira,Male,18,Rural,Up to 3,Separated,High School,Higher Education,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Low,Very High,Very Poor,6,15,16,1
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Low,Very Good,9,7,7,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,Yes,Good,High,High,Very Good,6,9,10,1
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Course Preference,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,High,Very Good,6,12,12,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Mother,More than 1h,Up to 2h,No,No,No,No,Yes,Yes,No,No,Fair,Low,Very Low,Poor,4,9,9,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,High,Good,0,13,17,0
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,High School,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,No,Yes,Yes,No,Poor,Very High,Very High,Very Good,8,9,10,1
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,High School,High School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Excellent,Moderate,Moderate,Very Poor,32,14,13,0
Gabriel Pereira,Female,18,Urban,Up to 3,Living Together,Higher Education,High School,Health,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Fair,Low,High,Very Poor,8,12,12,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,No,No,Excellent,High,Low,Fair,4,14,14,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,High School,Homemaker,other,Near Home,Father,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,No,No,Fair,Moderate,Moderate,Fair,4,12,13,1
Mousinho da Silveira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Health,Services,Other,Mother,15 to 30 min,2 to 5h,No,No,No,No,No,Yes,Yes,Yes,Good,Low,Low,Very Good,2,9,7,1
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Very Good,6,16,14,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,Yes,No,Fair,Low,Moderate,Very Poor,0,14,14,0
Mousinho da Silveira,Male,15,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Mother,More than 1h,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,Yes,Excellent,High,Very High,Good,8,7,9,1
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,No,Yes,No,Good,High,Very High,Very Good,8,7,8,1
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Mother,15 to 30 min,5 to 10h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very High,Poor,0,14,14,0
Gabriel Pereira,Male,19,Rural,Above 3,Living Together,High School,Lower Secondary School,Homemaker,Services,Near Home,Other,Up to 15 min,Up to 2h,No,Yes,No,No,No,Yes,No,Yes,Excellent,Moderate,High,Very Good,0,11,10,0
Gabriel Pereira,Female,19,Urban,Above 3,Living Together,High School,High School,other,other,Reputation,Other,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Fair,4,12,12,0
Mousinho da Silveira,Female,17,Urban,Up to 3,Separated,High School,Lower Secondary School,Services,other,Reputation,Mother,15 to 30 min,2 to 5h,No,No,No,No,Yes,Yes,No,Yes,Very Poor,Low,Moderate,Very Good,0,15,14,0
Mousinho da Silveira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Other,Mother,More than 1h,5 to 10h,No,No,No,No,Yes,Yes,No,No,Excellent,Very Low,Moderate,Fair,0,10,9,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Father,30 min to 1h,Up to 2h,No,Yes,No,Yes,Yes,Yes,No,Yes,Good,Moderate,Low,Good,0,14,14,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Mother,15 to 30 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,High,Very Good,0,7,7,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Reputation,Mother,15 to 30 min,Up to 2h,No,Yes,No,Yes,No,Yes,Yes,Yes,Good,High,Very High,Very Good,0,11,11,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,High School,other,Services,Near Home,Father,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Good,High,Moderate,Fair,4,14,15,0
Mousinho da Silveira,Male,18,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Near Home,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,No,Yes,No,No,Good,Very Low,High,Very Poor,8,10,11,1
Mousinho da Silveira,Female,17,Urban,Above 3,Separated,Primary School,Primary School,Homemaker,Homemaker,Other,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Very High,Very High,Fair,2,11,10,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Father,15 to 30 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Good,High,High,Very Good,4,12,11,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Mother,More than 1h,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Low,Fair,2,9,10,1
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Good,Moderate,Low,Very Good,6,13,12,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,High School,Higher Education,Homemaker,other,Other,Mother,30 min to 1h,2 to 5h,No,Yes,No,No,No,Yes,No,No,Good,Low,Very Low,Poor,2,7,9,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Other,Father,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,No,No,Fair,Very High,Very Low,Very Good,4,11,11,0
Gabriel Pereira,Female,18,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,30 min to 1h,Up to 2h,No,Yes,No,Yes,No,Yes,No,No,Excellent,Low,Very High,Good,6,11,10,1
Mousinho da Silveira,Male,16,Urban,Up to 3,Separated,Lower Secondary School,Lower Secondary School,other,Services,Course Preference,Father,15 to 30 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Good,Very Low,Low,Very Good,0,12,13,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Course Preference,Mother,15 to 30 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,Moderate,Very High,Very Good,1,10,11,1
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Homemaker,Course Preference,Father,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,No,No,No,Good,Very Low,Very Low,Good,0,11,11,0
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Near Home,Mother,15 to 30 min,More than 10h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fair,Very Low,Low,Very Poor,4,13,13,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Excellent,Moderate,High,Fair,2,17,18,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Near Home,Father,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Poor,1,11,10,0
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,Higher Education,Higher Education,Homemaker,Services,Other,Mother,30 min to 1h,Up to 2h,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Poor,Very High,Very High,Very Poor,5,12,13,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Other,Other,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Good,High,High,Very Good,16,10,11,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Moderate,Low,Poor,0,12,13,0
Gabriel Pereira,Female,17,Urban,Above 3,Separated,Lower Secondary School,Lower Secondary School,Homemaker,Homemaker,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Fair,Moderate,Very Low,Good,18,10,12,0
Mousinho da Silveira,Male,17,Rural,Above 3,Living Together,Higher Education,Higher Education,Health,other,Course Preference,Father,30 min to 1h,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,Yes,Fair,Moderate,Moderate,Very Good,2,9,9,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,Moderate,Low,Fair,21,13,13,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,other,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Low,Very Good,0,11,13,0
Mousinho da Silveira,Female,18,Rural,Above 3,Separated,Higher Education,High School,Services,Services,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,High,Poor,8,10,11,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,No,Yes,Yes,No,Excellent,Moderate,High,Very Poor,4,12,13,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,Primary School,other,Homemaker,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Good,Very Low,Low,Fair,6,10,13,0
Mousinho da Silveira,Male,17,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Other,Mother,30 min to 1h,More than 10h,No,Yes,No,No,Yes,Yes,No,No,Very Poor,Moderate,Very High,Fair,2,10,8,1
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,High School,Health,Services,Reputation,Mother,Up to 15 min,More than 10h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Low,Low,Poor,2,17,17,0
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Higher Education,High School,Teacher,Homemaker,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Very High,Low,Very Good,0,13,14,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Services,Services,Other,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fair,Moderate,Moderate,Fair,0,10,9,0
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Father,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Fair,High,High,Very Good,2,13,12,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Health,Services,Other,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Poor,Low,High,Very Poor,0,11,11,1
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,High School,High School,Services,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,Yes,Excellent,Moderate,High,Very Good,0,10,10,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,High School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Fair,High,Very High,Very Poor,16,11,9,1
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,No,Yes,No,Good,High,Moderate,Good,0,8,9,1
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,High School,other,Services,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,No,Yes,Yes,No,Good,Moderate,Very High,Very Good,0,17,18,1
Gabriel Pereira,Female,18,Urban,Up to 3,Separated,Lower Secondary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Good,Moderate,High,Very Good,2,12,12,0
Gabriel Pereira,Male,18,Rural,Above 3,Living Together,Lower Secondary School,High School,other,Services,Reputation,Father,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,Very Low,Moderate,Good,13,13,14,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,Higher Education,Services,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,No,No,No,Yes,Yes,Yes,No,Good,High,Very High,Very Good,8,11,13,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Poor,0,14,13,0
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,High School,Higher Education,Homemaker,Teacher,Course Preference,Mother,More than 1h,2 to 5h,No,Yes,No,No,Yes,Yes,No,Yes,Excellent,Moderate,Moderate,Very Good,2,12,11,0
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Primary School,Lower Secondary School,other,Services,Reputation,Father,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,No,Good,High,Moderate,Very Poor,0,13,13,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,No,Yes,No,No,Good,High,High,Very Good,2,12,11,0
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Very High,Very High,Good,8,14,14,1
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Mother,More than 1h,5 to 10h,No,No,No,No,Yes,Yes,Yes,No,Good,Moderate,Low,Good,4,10,11,0
Mousinho da Silveira,Female,16,Urban,Up to 3,Living Together,Primary School,Primary School,Homemaker,other,Other,Mother,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Low,Very Good,6,6,8,0
Gabriel Pereira,Female,15,Urban,Up to 3,Living Together,Higher Education,High School,Services,Services,Reputation,Father,Up to 15 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Good,High,High,Poor,0,13,12,1
Gabriel Pereira,Male,15,Urban,Above 3,Separated,Lower Secondary School,Lower Secondary School,other,other,Near Home,Other,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Very High,Low,Fair,0,14,14,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Primary School,other,Services,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Low,Very Good,0,12,12,0
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,Yes,Fair,Moderate,Moderate,Fair,16,11,11,0
Mousinho da Silveira,Female,16,Rural,Above 3,Separated,Lower Secondary School,Lower Secondary School,Health,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,No,Yes,Fair,Moderate,Low,Fair,2,8,10,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Course Preference,Mother,More than 1h,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Very High,Good,2,11,10,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Primary School,High School,Homemaker,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Very High,Fair,0,14,13,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,No,No,Good,High,High,Very Poor,0,14,15,0
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,Higher Education,Lower Secondary School,Health,Health,Other,Father,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Excellent,Very High,Very High,Very Good,4,10,9,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,High School,Health,Services,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,Low,Fair,0,17,18,0
Gabriel Pereira,Male,19,Urban,Up to 3,Separated,Higher Education,High School,Services,Homemaker,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Very Low,Very Poor,4,11,13,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,Yes,Good,Very High,Low,Very Good,4,9,10,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Other,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Low,Poor,0,13,12,1
Mousinho da Silveira,Female,15,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,No,No,Yes,Yes,No,Good,High,Low,Poor,0,9,10,0
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,No,No,Very Poor,Very Low,Very Low,Very Good,6,11,12,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,High School,Teacher,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,No,Yes,Yes,No,Excellent,High,Very High,Fair,7,14,14,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Moderate,Very Good,0,13,14,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,No,Yes,Yes,Fair,Moderate,Low,Very Good,16,9,9,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Primary School,Lower Secondary School,other,other,Near Home,Father,Up to 15 min,5 to 10h,Yes,Yes,No,No,No,Yes,Yes,Yes,Good,Moderate,High,Fair,5,13,14,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,High,Very High,Very Good,0,14,13,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,Lower Secondary School,Primary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,High,Moderate,Very Good,2,10,8,0
Gabriel Pereira,Female,15,Urban,Above 3,Separated,High School,High School,other,Health,Reputation,Father,Up to 15 min,More than 10h,Yes,No,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Good,10,10,10,0
Mousinho da Silveira,Male,16,Rural,Up to 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very High,Very Good,0,10,10,1
